id,lang,title,standard_timestamp,event_timestamp_v1,event_timestamp_v2,pseudo_time,pseudo_granularity,pseudo_source_text,is_evaluable_v1,is_evaluable_v2,is_exact_v1,is_exact_v2,is_relaxed_v1,is_relaxed_v2,exact_compare,relaxed_compare
gdelt_00275553,en,Nick Reiner high - profile lawyer quits as public defenders take over ; arraignment postponed,2026-01-08 05:30:00,2026-01-08 05:30:00,2026-01-08 05:30:00,,,,0,0,0,0,0,0,na,na
gdelt_003683cb,en,Iran war live : Tehran warns of intensified strikes if energy sites targeted | US - Israel war on Iran News,2026-03-20 11:30:00,2026-03-20 11:30:00,2026-03-20 11:30:00,,,,0,0,0,0,0,0,na,na
gdelt_0077b082,bg,Мерц : Лично убеждал Трампа ввести санкции против РФ – DW – 10 . 08 . 2025,2025-08-11 00:45:00,2025-08-11 00:45:00,2025-08-10 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_00a1b165,en,"LIVE : 21 in Gaza killed by Israeli attacks today , hospitals plead for fuel | Israel - Palestine conflict News",2025-06-08 19:30:00,2025-06-08 19:30:00,2025-06-08 19:30:00,2025-06-08 00:00:00,day,today,1,1,1,1,1,1,tie,tie
gdelt_00b3d875,tr,Mahkeme Apple  ın  çevreci saat  reklamlarını durdurdu – DW – 26 . 08 . 2025,2025-08-26 22:00:00,2025-08-26 22:00:00,2025-08-26 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_00c1493c,en,Typhoon Ragasa bears down on southern China after killing 17 in Taiwan,2025-09-24 22:00:00,2025-09-24 22:00:00,2025-09-24 22:00:00,,,,0,0,0,0,0,0,na,na
gdelt_012b3cb2,uk,Міністри оборони ФРН і США обговорили постачання зброї Києву – DW – 15 . 07 . 2025,2025-07-15 15:45:00,2025-07-15 15:45:00,2025-07-15 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_012de21d,en,Online forum CEOs called to testify at Congress after Charlie Kirk murder,2025-09-18 05:00:00,2025-09-18 05:00:00,2025-09-18 05:00:00,,,,0,0,0,0,0,0,na,na
gdelt_01471cad,en,The Singaporean shoemaker who crafts bespoke shoes under his own label,2025-08-22 12:45:00,2025-08-22 12:45:00,2025-08-22 12:45:00,,,,0,0,0,0,0,0,na,na
gdelt_015467fb,sq,Korrupsioni në Ukrainë : 30 përqind ryshfet për dronë të rinj – DW – 04 / 08 / 2025,2025-08-04 15:00:00,2025-08-04 15:00:00,2025-08-04 00:00:00,2025-01-01 00:00:00,year,04 / 08 / 2025,1,1,1,1,1,1,tie,tie
gdelt_017d9704,zh-cn,雄安抗战印记 ： 遇见  官大妈 - 新华网河北频道 - 新华网,2025-09-14 14:00:00,2025-09-14 14:00:00,2025-09-14 14:00:00,,,,0,0,0,0,0,0,na,na
gdelt_023cfa42,en,Australian Open 2026 live updates : Women final latest as Aryna Sabalenka faces Elena Rybakina today,2026-01-31 15:00:00,2026-01-31 00:00:00,2026-01-31 15:00:00,2026-01-31 00:00:00,day,today,1,1,1,1,1,1,tie,tie
gdelt_024d73c2,es,"Determinación de China para salvaguardar derechos legítimos es inquebrantable , dice vice primer ministro",2025-09-16 08:45:00,2025-09-16 08:45:00,2025-09-16 08:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0282205c,fr,Le dirigeant suprême de la RPDC supervise un exercice de lancement de missiles hypersoniques ( KCNA ) - Xinhua,2026-01-05 11:30:00,2026-01-05 11:30:00,2026-01-05 11:30:00,,,,0,0,0,0,0,0,na,na
gdelt_02b8f2a7,en,Do not inhale ! How wildfire smoke  affects the whole body  ,2026-02-23 15:45:00,2026-02-23 15:45:00,2026-02-23 15:45:00,,,,0,0,0,0,0,0,na,na
gdelt_02f21455,en,LIVE : Israel pounds Gaza ; Trump says  very good chance  of truce deal | Israel - Palestine conflict News,2025-07-10 13:30:00,2025-07-10 13:30:00,2025-07-10 13:30:00,,,,0,0,0,0,0,0,na,na
gdelt_03a46ef9,en,SGX tie - up with Nasdaq to streamline dual listings among moves to boost Singapore equities market,2025-11-19 20:45:00,2025-11-19 20:45:00,2025-11-19 20:45:00,,,,0,0,0,0,0,0,na,na
gdelt_03c98779,en,Iran war live : Tehran promises never to surrender as war enters eighth day | Israel - Iran conflict News,2026-03-07 17:30:00,2026-03-07 17:30:00,2026-03-07 17:30:00,,,,0,0,0,0,0,0,na,na
gdelt_03f65f45,af,US chess grandmaster Daniel Naroditsky dies at 29,2025-10-21 14:30:00,2025-10-21 14:30:00,2025-10-21 14:30:00,,,,0,0,0,0,0,0,na,na
gdelt_046e2d38,en,The Bounce : NBA Cup elimination is here . So are our Western Conference grades,2025-12-10 01:00:00,2025-12-10 01:00:00,2025-12-10 01:00:00,,,,0,0,0,0,0,0,na,na
gdelt_04ab2acc,pl,Zachodni Brzeg : Ucieczka przed izraelskimi osadnikami,2026-01-27 07:00:00,2026-01-27 07:00:00,2026-01-27 07:00:00,,,,0,0,0,0,0,0,na,na
gdelt_05047301,uk,Чому вбивство міграційною поліцією молодої жінки у США сколихнуло всю країну,2026-01-08 22:00:00,2026-01-08 22:00:00,2026-01-08 22:00:00,,,,0,0,0,0,0,0,na,na
gdelt_054feb85,de,USA loben Gespräche mit Ukraine und Russland als konstruktiv – DW – 22 . 12 . 2025,2025-12-22 20:15:00,2025-12-22 20:15:00,2025-12-22 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_05554b73,zh-cn,俄罗斯指挥家安东的中国艺术之旅 - 新华网辽宁频道,2025-07-03 18:15:00,2025-07-03 18:15:00,2025-07-03 18:15:00,,,,0,0,0,0,0,0,na,na
gdelt_056c8e83,zh-cn,2025第四届酸辣粉行业大会在河南开封举行 - 新华网河南频道,2025-10-21 13:30:00,2025-10-21 13:30:00,2025-01-01 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_05be4fc0,ru,Выборы в Гонконге : баллотироваться могут только  патриоты  – DW – 07 . 12 . 2025,2025-12-07 18:15:00,2025-12-07 18:15:00,2025-12-07 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_05c99108,en,"Russia launches deadly wave of drone , missile attacks across Ukraine",2025-10-22 19:00:00,2025-10-22 19:00:00,2025-10-22 19:00:00,,,,0,0,0,0,0,0,na,na
gdelt_0667e692,hr,Srebrenica : Hiljadu godina robije i oni koji su se izvukli – DW – 07 . 07 . 2025,2025-07-08 19:00:00,2025-07-08 19:00:00,2025-07-07 00:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
